BALDWIN            2.7         3.2        4.5        4.8 
BARNARD            3.9         3.8        5.9        6.2 
BEECHER            4.8         4.1        6.8        5.5 
BRENNAN            3.1         3.5        4.3        4.6 
CLINTON            3.4         3.7        5.1        5.6 
CONTE              3.1         3.4        4.1        4.7 
DAVIS              4.6         4.4        6.6        6.1 
DAY                3.1         3.3        4.0        4.9 
DWIGHT             3.8         3.7        4.7        4.9 
EDGEWOOD           5.2         4.9        8.2        6.9 
EDWARDS            3.9         3.8        5.2        5.4 
HALE               4.1         4.0        5.6        5.6 
HOOKER             5.7         5.1        7.0        6.3 
IVY                3.0         3.2        4.5        5.0 
KIMBERLY           2.9         3.3        4.5        5.1 
LINCOLN BASSETT    3.4         3.3        4.4        5.0 
LOVELL             4.0         4.2        5.2        5.4 
PRINCE             3.0         3.0        4.6        5.0 
ROSS               4.0         4.1        5.9        5.8 
SCRANTON           3.0         3.2        4.4        5.1 
SHERMAN            3.6         3.6        5.3        5.4 
TRUMAN             3.1         3.2        4.6        5.0 
WEST HILLS         3.2         3.3        5.4        5.3 
WINCHESTER         3.0         3.4        4.2        4.7 
WOODWARD           3.8         4.0        6.9        6.7
